riskId,name,description
R202,Deferred Tax Asset Realization Risk,"Valuation allowance related to capital loss carryforwards, state, and certain other deferred tax assets that management determined not likely to be realized due to jurisdictional projections of future taxable income, including capital gains."
R203,Deferred Tax Asset Recoverability Risk,"There is a risk that deferred tax assets may not be fully realized, potentially requiring a valuation allowance to be recorded against future tax deductions and credits."
R204,Deferred Tax Asset Risk,"Actual and forecasted earnings are subject to change due to economic, political, and other conditions, and significant judgment is required in determining the ability to utilize deferred tax assets."
R205,Delayed GRC Decisions,"Delayed decisions in General Rate Case proceedings may require the Utility to develop budgets based on approved revenue requirements and estimated outcomes rather than authorized amounts, potentially exposing the Utility to operational and financial risk."
R206,Demand Estimation Risk,"Failure to estimate customer demand properly has led and could lead to mismatches between supply and demand, resulting in product shortages and excess inventory, significantly harming financial results."
R207,Demand Forecasting Risk,"Risk of underestimating or overestimating customer demand for products, leading to inventory issues, lost revenue, damaged customer relationships, and impacted gross margins."
R208,Dependence on Partner Network,"The company relies heavily on a broad partner network including OEMs, ODMs, system builders, AIBs, retailers, distributors, ISVs, CSPs, automotive manufacturers, and tier-1 automotive suppliers to reach end customers and markets, creating dependency risk."
R209,Dependence on Transcending Current Product Categories,"Future growth depends on the ability to transcend current product category definitions, business models, and sales motions."
R210,Design and Manufacturing Defects,"The Company's products and services may be affected by design and manufacturing defects in hardware, software, or third-party components, which could materially adversely affect the Company's business and harm its reputation."
R211,Device Market Demand Variability,Differences in device market demand between developed markets and growth markets impact Windows OEM revenue.
R212,Diablo Canyon Early Closure Risk,"The Utility may incur a material charge if it ceases operations at Diablo Canyon's two nuclear generation units before their respective current licenses expire in 2024 and 2025. As of December 31, 2022, the unrecovered investment in Diablo Canyon was $840 million."
R213,Diablo Canyon Extended Operations Risk,"If Diablo Canyon enters extended operations through no later than 2030, the Utility will face operational challenges from a shortened planning period, including potential inability to procure adequate nuclear fuel supply."
R214,Diablo Canyon Extension Cost Risk,"Extended operations at Diablo Canyon through no later than 2030 involve significant costs, with customers of CPUC-jurisdictional load-serving entities responsible for bearing those costs."
R215,Diablo Canyon License Expiration,"The NRC operating licenses for Diablo Canyon Units 1 and 2 currently expire in 2024 and 2025 respectively, posing a risk to continued nuclear generation operations."
R216,Digital Content Availability Risk,"Failure to obtain or create digital content that appeals to customers, or to make such content available on commercially reasonable terms, could have a material adverse impact on the Company's business, results of operations and financial condition."
R217,Digital Content Production Risk,"The Company produces its own digital content, which can be costly due to intense competition for talent, content and subscribers, and may fail to appeal to customers."
R218,Digital Rights Management Risk,"Breach or malfunctioning of digital rights management technology could subject the company to claims, and content providers may be unwilling to include their content in the service."
R219,Digital Safety Abuse Risk,"Hosted consumer and enterprise services may be used to generate or disseminate harmful or illegal content, leading to regulatory oversight, civil or criminal liability, or reputational damage."
R220,Dilution Risk,"The Company will continue to rely on equity sales of common shares to fund business operations, and issuances of additional shares will result in dilution to existing stockholders."
R221,Dilution from equity or convertible debt securities,The sale of additional equity or convertible debt securities would be dilutive to existing shareholders.
R222,Dilutive Equity Issuance Risk,The potential for acquisitions to result in dilutive issuances of equity securities.
R223,Disaster Recovery Planning Insufficiency,"Disaster recovery planning and testing may not be sufficient for all possible outcomes or events, and regulators may require specific business continuity and disaster recovery plans that are costly and time-consuming to implement."
R224,Disclosure and Misuse of Personal Data,"As cloud-based offerings grow, increasing amounts of personal data are stored and processed, and improper disclosure or misuse could harm the company's reputation, create legal exposure, or subject it to liability under data protection laws, resulting in increased costs or loss of revenue."
R225,Disruptive Technological Changes,"Rapid, significant, and disruptive technological changes impact the industries in which the company operates, including payment technologies, AI, machine learning, and others. New technologies may be superior to or render obsolete the technologies currently used."
R226,Distributed Energy Resources Adaptation Risk,"The Utility may be unable to effectively adapt to potential business and regulatory changes related to distributed energy resources such as on-site solar generation, electric vehicles, energy storage, fuel cells, energy efficiency, and demand response technologies, impacting its business model and ability to execute on its strategy."
R227,Distributed Generation and Energy Storage Competition,"Technology-related cost declines and sustained federal or state subsidies could make distributed generation and energy storage a viable alternative to the Utility's bundled electric service, further reducing energy demand."
R228,Dividend Payment Restrictions,"The ability of the Utility to pay dividends or make other advances, distributions, and transfers of funds depends on its results of operations and may be restricted by applicable laws limiting the amount of funds available for payment of dividends and certain restrictive covenants."
R229,Dividend Restriction Risk,"Per the Confirmation Order, PG&E Corporation may not pay dividends on its common stock until it recognizes $6.2 billion in Non-GAAP Core Earnings following the Emergence Date."
R230,Downward Pressure on Operating Margin,"Margins could experience downward pressure due to increasing competition, increased costs, higher percentage of revenues from Google Network Members, lower margins on digital content/apps, mobile advertising, newer advertising formats, and increased R&D investment."
R231,Drought and Generation Risk,"Drought conditions challenged the Utility's generation operations, requiring rescheduling of outages to maximize availability during peak summer demand periods."
R232,Drought and Vegetation Management Costs,"Severe drought conditions in California directed the Utility to perform additional fire prevention and vegetation management work, with associated costs tracked in California Energy Management Assistance accounts and later in a Vegetation Management Balancing Account."
R233,Due Diligence Failure Risk,Potential failure of due diligence processes to identify significant issues with the assets or company in which the company is investing or acquiring.
R234,E-commerce Reporting Obligations,"U.S. states, the U.S. federal government, and foreign jurisdictions have implemented reporting or record-keeping obligations on companies that engage in or facilitate e-commerce. Failure to comply could result in substantial monetary penalties and other sanctions."
R235,ECB Significant Supervised Entity Risk,"If the business activities of PayPal (Europe) exceed certain thresholds, or if the ECB so determines, PayPal (Europe) may be deemed a significant supervised entity and certain activities would become directly supervised by the ECB, increasing compliance costs."
R236,EEA and UK Credit Institution Regulation Risk,"PayPal (Europe), licensed as a credit institution in Luxembourg, may be subject to enforcement actions and significant fines if it violates applicable requirements under EEA and UK regulations."
R237,ERP System Implementation Risk,"ERP system problems upon implementation, such as quality issues or programming errors, could impact continued ability to operate or timely report financial results."
R238,ESG Compliance Risk,"The Company faces risks related to environmental, social, and governance considerations, including climate change, greenhouse gas emissions, human and civil rights, and diversity, equity, and inclusion. Failure to achieve ESG goals could result in legal and regulatory proceedings and materially adversely affect the Company's business, reputation, results of operations, financial condition, and stock price."
R239,ESG Issues,"Environmental, social, and governance (ESG) issues may adversely affect PayPal's business, financial condition, and results of operations, and may damage its reputation. Failure to adapt to evolving ESG laws, regulations, or stakeholder expectations could further harm the company."
R240,ESG Reporting and Compliance Risk,"Governments around the world are adopting laws and regulations pertaining to ESG performance, transparency, and reporting, including the EU Corporate Sustainability Reporting Directive and climate-related risk management requirements."
R241,ESG Risks,"The company faces risks and uncertainties related to Environmental, Social, and Corporate Governance practices, including potential impacts from climate change regulations and related market effects."
R242,ESG and Sustainability Risk,"Increased scrutiny from shareholders, regulators and others regarding environmental, social and governance responsibilities could result in additional costs or risks and adversely impact reputation and willingness of customers and suppliers to do business with the company."
R243,ESG scrutiny,"Increased scrutiny from shareholders, regulators, and others regarding our environmental, social and governance responsibilities could result in financial, reputational and operational harm."
R244,EU Digital Legislation Risk,"New EU requirements, including the Digital Markets Act, Digital Services Act, and Data Act, impose additional rules and restrictions on the use of data in products and services, increasing compliance costs and engineering burden."
R245,EU Whistleblower Directive Compliance Risk,"The EU Whistleblower Directive, initiated in 2021, may present compliance challenges to the extent it is implemented in different forms by EU member states."
R246,EU-U.S. Data Privacy Framework Risk,"The EU-U.S. Data Privacy Framework is subject to further legal challenge, which could create uncertainty around the legal requirements for data transfers from the EU. EU data protection authorities may also block the use of certain U.S.-based services."
R247,Economic Sanctions Impact,"Increasing use of economic sanctions may impact demand for products or services, negatively impacting business and financial results."
R248,Effective Tax Rate Variability,"Future effective tax rate may be affected by changes in business or statutory rates, mix of earnings across countries, available tax incentives, credits and deductions, expiration of statute of limitations, settlements of tax audits, accounting principles changes, stock-based compensation tax effects, and volatility in stock price."
R249,Effective Tax Rate Volatility,"The effective tax rate is subject to significant variation due to factors including variability in pre-tax and taxable income and loss, mix of jurisdictions, intercompany transactions, acquisitions, investments, changes in statutes, regulations, and other laws in various jurisdictions."
R250,Electric Asset Inspection Failures,"The Utility has notified the CPUC of various errors relating to inspections and maintenance of its electric assets or implementation of WMP initiatives, including missed inspections and inability to locate records evidencing performance of inspections."
R251,Electric Load Electrification Uncertainty,"The Utility expects customer electric load to increase due to electrification of buildings and transportation, but cannot predict how quickly this will occur."
R252,Electric System Reliability Risk,"Potential for system RA shortages beginning in 2021, requiring incremental procurement of system-level qualifying RA capacity of 3,300 MWs by all LSEs operating within the CAISO's balancing area for the period from 2021 to 2023."
R253,Electric and Gas Industry Change Risk,"Industry changes, costs associated with complying with new regulatory developments and initiatives and with technological advancements, or the Utility's inability to successfully adapt to changes in the electric and gas industry, could materially affect the Utility's financial condition, results of operations, liquidity, and cash flows."
R254,Electricity Procurement Cost Disallowance Risk,The CPUC may disallow costs associated with electricity purchases if the costs were not incurred in compliance with the CPUC-approved plan or if the CPUC determines that the utility failed to follow the principles of least-cost dispatch.
R255,Electricity and Natural Gas Operations Hazard Risk,"The Utility's electricity and natural gas operations are inherently hazardous and involve significant risks, including breakdown of equipment, explosions, fires, and large-scale system disruptions."
R256,Eminent Domain Risk,"Jurisdictions may attempt to acquire the Utility's assets through eminent domain, causing the Utility to lose customers in the municipality."
R257,Employee Turnover Risk,"PG&E Corporation experienced significant employee turnover throughout the course of its Chapter 11 Cases in 2019 and 2020, particularly at the executive management level."
R258,Energy Procurement Credit Risk,"The Utility faces credit risk exposure to wholesale customers and counterparties in energy procurement, with total exposure of $814 million as of December 31, 2022, compared to $570 million as of December 31, 2021."
R259,Energy Storage Procurement Obligations,The Utility is required to procure 580 MW of qualifying storage capacity by end of 2020 with all projects operational by end of 2024 under the CPUC multi-year energy storage procurement framework.
R260,Enforcement and Investigation Risk,"The Utility is the target of a number of investigations, and if those investigations result in enforcement action, the Utility could incur substantial additional fines or penalties and suffer further ongoing negative consequences."
R261,Enforcement and Legal Matter Risk,PG&E Corporation and the Utility have recorded material accruals related to various enforcement and legal matters.
R262,Enforcement and Litigation Risk,"PG&E Corporation and the Utility are subject to various laws and regulations and are named as parties in a number of claims and lawsuits. Penalties may be incurred for failure to comply with federal, state, or local laws and regulations."
R263,Enforcement and Regulatory Risk,"The Utility faces risks related to the Enhanced Oversight and Enforcement Process, legislative and regulatory developments, and the outcomes of enforcement, regulatory, and ratemaking proceedings."
R264,"Enforcement, Litigation, and Regulatory Matters","The Utility is subject to various enforcement, litigation, and regulatory matters—including Safety Culture OII, EOEP proceedings, WMP actions, and safety self-reports—which could result in penalties, additional regulatory requirements, or changes to operations."
R265,Enhanced Oversight and Enforcement Process (EOEP),"The CPUC adopted an Enhanced Oversight and Enforcement Process (EOEP) to monitor the Utility's operational performance, with trigger events including failure to obtain an approved Wildfire Mitigation Plan, failure to comply with regulatory reporting requirements, insufficient progress toward approved safety or risk-driven investments, and failure to meet certain metrics. As a result, the Utility may face fines, penalties, or other regulatory actions."
R266,Environmental Laws and Remediation Costs,"The Utility's operations are subject to extensive environmental laws that are subject to change, and the Utility has been required to pay for environmental remediation costs at various sites and may be required to do so in the future."
R267,Environmental Liabilities,Unanticipated costs associated with environmental liabilities could affect results of operations.
R268,Environmental Regulation,"The Utility's operations are subject to extensive federal, state, and local environmental, health, and safety laws and permits, covering areas such as hazardous substance remediation, greenhouse gas emissions reporting, pollutant discharge, and nuclear fuel handling."
R269,Environmental Regulatory Risk,"Environmental regulations governing air quality, water quality and usage, remediation of hazardous substances, and protection of natural resources and wildlife pose compliance risks. California's SB 100 increased the required share of renewable energy in the state's electricity portfolio to 60% by 2030, adding further regulatory obligations."
R270,Environmental Remediation Liabilities,"The Utility is subject to loss contingencies under federal and California environmental laws that may require it to pay for environmental remediation at sites where it is a potentially responsible party, including former MGP sites, power plant sites, gas compressor stations, and hazardous material storage and disposal sites."
R271,Environmental Risk,"The Utility faces risks related to severe weather conditions, extended drought, and climate change, including resulting events such as wildfires, as well as compliance with extensive environmental laws."
R272,"Environmental, Social and Governance Disclosure Risk","New environmental, social, and governance laws and regulations are expanding mandatory disclosure, reporting, and diligence requirements."
R273,Equity Investment Risk,"Strategic investments are subject to market-related risks that could substantially reduce or increase the carrying value of the portfolio. Strategic investments totaled $2.1 billion and $3.2 billion as of December 31, 2022 and 2021, representing approximately 14% and 20% of the total cash, cash equivalents, and short-term and long-term investment portfolio, respectively."
R274,Equity Issuance Risk,"PG&E Corporation's planned equity issuances may be affected by factors including liquidity and cash flow needs, capital expenditures, interest rates, the timing and outcome of ratemaking proceedings, and the timing and terms of other financings, including the potential sale of a minority interest in Pacific Generation."
R275,Equity Market Price Risk,"Securities held in the equity investments portfolio are subject to market price risk, which is managed at times using options, futures, and swap contracts not designated as hedging instruments."
R276,Equity Securities Ownership Restriction,"Any person acquiring PG&E Corporation Equity Securities will be restricted from owning 4.75% or more of such Equity Securities as determined for federal income tax purposes, subject to certain exceptions."
R277,Estimates and Assumptions Risk,"Preparing financial statements requires management to make estimates and assumptions that affect reported amounts of assets, liabilities, revenue, and expenses. Actual results and outcomes may differ from management's estimates and assumptions due to risks and uncertainties."
R278,Ethereum 2.0 Merge Impact,"Changes to cryptocurrency standards including the Ethereum 2.0 merge may decrease the usage of GPUs for Ethereum mining and create increased aftermarket sales of GPUs, which could negatively impact retail prices and reduce demand for new GPUs."
R279,European Regulatory Risk,"Regulators in EEA countries could enforce local consumer protection laws, impose additional obligations and costs, and impact the company's ability to expand its business in Europe and the UK."
R280,Evolving Cyberthreats,"Cyberthreats are constantly evolving and becoming increasingly sophisticated, making detection and defense more difficult. Breaches could disrupt business applications and impair the company's ability to provide services."
R281,Evolving Data Protection Laws,"Data protection laws around the world are quickly changing and may be interpreted in an increasingly stringent fashion inconsistent with current data practices, necessitating changes to information technologies, systems, and practices."
R282,Evolving IT Environment and Regulatory Risks,"The company's internal IT environment continues to evolve with new devices and technologies, and business policies and internal security controls may not keep pace with emerging threats or cybersecurity regulations across jurisdictions worldwide."
R283,Evolving Regulatory Environment Risk,"The legal and regulatory environment relating to privacy and data protection laws continues to develop and evolve in unpredictable ways, including with respect to technologies such as cloud computing, artificial intelligence, machine learning, cryptocurrency, and blockchain technology."
R284,Excess or Obsolete Inventory,"Changes in business and economic conditions, market conditions, sudden decreases in demand, inventory obsolescence due to changing technology and customer requirements, new product introductions, failure to estimate customer demand properly, or ordering in advance of historical lead-times may result in excess or obsolete inventory or excess product purchase commitments."
R285,Executive Dependency and Succession Planning,"Highly dependent on longstanding executive team; failure in succession planning, knowledge transfer, and smooth transitions could hinder strategic planning and long-term success."
R286,Executive and Key Employee Retention,"We may be unable to attract, retain and motivate our executives and key employees."
R287,Expansion Strain on Resources,"Rapidly and significantly expanding global operations, including increasing product and service offerings and scaling infrastructure, places significant strain on management, personnel, operations, systems, technical performance, financial resources, and internal financial control and reporting functions."
R288,Expansion into New Products and Services,"Expansion into new products, services, technologies, and geographic regions subjects the company to additional risks including limited experience in newer market segments, technology challenges, service disruptions, and potential write-downs of investments."
R289,Export Control Restrictions,"Semiconductors associated with AI, including GPUs, are increasingly the focus of export control restrictions. Controls may prohibit exporting products to customers in one or more markets, including China, negatively impacting manufacturing, testing, warehousing, revenue, and financial results."
R290,Export Control and Trade Sanctions Risk,"Government actions including trade protection and national security policies, tariffs, import/export regulations, trade and economic sanctions, quotas or other trade barriers could affect ability to ship products, provide services, and fulfill contractual obligations. Violations of export control laws could result in material adverse impact on business."
R291,Export License Requirements,New U.S. government license requirements impacting certain exports of data center products to China (including Hong Kong and Macau) and Russia make it difficult to manage operations and forecast operating results.
R292,Export and Import Regulation Risk,"The Company is subject to changing regulations relating to the export and import of its products, which could result in products being banned, delayed, or prohibited from importation. Such outcomes could materially adversely affect the Company's business, reputation, results of operations, and financial condition."
R293,Extended Payment Terms and Customer Bad Debt,"Extended payment term arrangements with certain customers, the inability of some customers to make required payments, ability to obtain credit insurance, and customer bad debt write-offs pose financial risks."
R294,Extensive Government Regulation and Compliance,"Business is subject to extensive, complex, overlapping, and frequently changing rules, regulations, and legal interpretations. Failure to comply could materially harm the business."
R295,Extreme Heat Events and Peak Loads,"The Utility's electric distribution system has experienced multiple major outage-causing events associated with extreme heat and peak loads, and peak loads are expected to increase with rising temperatures due to direct impacts on equipment and growing electricity demand driven by air conditioning usage."
R296,FERC Regulatory Risk,"The FERC has authority to impose fines of up to $1 million per day for violations of certain federal statutes and regulations, and regulates electric transmission, hydroelectric licensing, and natural gas transportation."
R297,FERC Regulatory Violations,FERC has authority to impose fines of up to $1 million per day for violations of certain federal statutes and regulations.
R298,Fabless Manufacturing Dependency,"NVIDIA relies on key third-party suppliers for all phases of manufacturing including wafer fabrication, assembly, testing, and packaging, which introduces supply chain risk."
R299,Failure to Implement New Information Systems,"Any failure to successfully implement new information systems and technologies, or improvements or upgrades to existing information systems and technologies in a timely manner could adversely impact business, internal controls, results of operations, and financial condition."
R300,Failure to Meet Evolving Industry Needs,"Failure to meet the evolving needs of our industry and markets may adversely impact our financial results. Our accelerated computing platforms experience rapid changes in technology, customer requirements, competitive products, and industry standards."
R301,Failure to Mitigate Unsafe Conditions Risk,"Failure to take expeditious or sufficient action to mitigate operating conditions, facilities, or equipment identified as unsafe, which then leads to a catastrophic event."
R302,Federal GHG Regulation Risk,"The EPA is using its authority under the Clean Air Act to address GHG emissions, and the Biden Administration has signaled intent to use executive and regulatory authorities to reduce emissions, including potential new methane emission rules for oil and gas sector and stricter GHG standards for power plants."
R303,Financial Condition Risk,"Financial condition risks include substantial indebtedness and related restrictions, appeals of the Confirmation Order, potential dilution to holders of PG&E Corporation common stock, substantial stock sales by existing stockholders, ownership and transfer restrictions, and tax-related risks including the grantor trust election for the Fire Victim Trust and the inability to use certain tax attributes."
R304,Financial and Fraud Risk,The payments platform faces risk of financial losses and fraud affecting merchants and consumers.
R305,Financing Cost Risk,"If costs recorded in regulatory accounts continue to increase or the delay between incurring and recovering costs lengthens, PG&E Corporation and the Utility may incur additional financing costs."
R306,Financing Risk,The Company requires a higher volume of royalty revenues to raise sufficient operating cash flows and may need to raise additional funds via equity or debt financing.
R307,Financing and Capital Markets Risk,"Future cash flows from financing activities will be affected by the timing and outcome of AB 1054 securitization transactions, the potential sale of a minority interest in Pacific Generation, dividend payments, and equity contributions."
R308,Fire Victim Trust Grantor Trust Election,"Because PG&E Corporation and the Utility have elected to treat the Fire Victim Trust as a grantor trust, the application of the Ownership Restrictions will be determined based on a number of shares outstanding that could differ materially from the number of shares reported as outstanding in its periodic reports under the Exchange Act."
R309,Fire Victim Trust Share Issuance Risk,"On the Emergence Date, PG&E Corporation issued to the Fire Victim Trust shares equal to 22.19% of outstanding common stock. Additional shares may be required to be issued to the Fire Victim Trust, resulting in further dilution to existing shareholders and potential decline in trading price."
R310,Fixed Cost Growth,"Fixed costs include expenses necessary to build and run technology infrastructure, enhance online stores, web services, electronic devices, and digital offerings, and build and optimize the fulfillment network. Unnecessary growth in these fixed costs represents a material risk to the company."
R311,Fluctuations in Operating Results and Growth Rate,"The company is not always able to accurately forecast its growth rate, bases expense levels and investment plans on sales estimates, and faces risks from softening demand, changes in customer preferences, weakening economies, competitive pressures, and other factors that may cause revenue and operating results to fluctuate."
R312,Foreign Cash Repatriation Tax Risk,"Approximately $1.38 billion of cash, cash equivalents, and marketable securities held outside the U.S. for which no related foreign or state taxes have been accrued; repatriation could trigger additional tax obligations."
R313,Foreign Corrupt Practices Risk,The company faces compliance obligations under the U.S. Foreign Corrupt Practices Act and other applicable U.S. and foreign laws that prohibit corrupt payments to government officials and other third parties. Failure to comply with these laws could expose the company to significant legal and financial risk.
R314,Foreign Currency Exchange Fee Decline,Declines in foreign currency exchange fees contributed to slower transaction revenue growth relative to TPV and number of payment transactions in 2022.
R315,Foreign Currency Exchange Rate Risk,"Revenues from Rest of the world were unfavorably impacted by changes in foreign currency exchange rates, primarily because the U.S. dollar strengthened relative to the Euro, Brazilian real, Australian dollar, and Japanese yen."
R316,Foreign Currency Risk - Investments,A 10% decrease in foreign exchange rates could result in a loss of $29 million in fair value of foreign currency-denominated investments.
R317,Foreign Currency Weakness,The weakness in foreign currencies relative to the U.S. dollar accounted for more than the entire year-over-year decrease in total net sales during FY2023.
R318,Foreign Currency and Interest Rate Fluctuation Risk,Macroeconomic conditions may expose PayPal to fluctuations in foreign currency exchange rates or interest rates that could materially and adversely affect its financial results.
R319,Foreign Earnings Tax Risk,"The company's income tax rate is significantly affected by the tax rates that apply to foreign earnings, including provisions related to the global intangible low-taxed income (GILTI) tax and the base erosion anti-abuse tax."
R320,Foreign Exchange Rate Fluctuations,"Fluctuations in foreign exchange rates may adversely affect the company's net sales, operating expenses, and operating income."
R321,Foreign Exchange Rate Volatility,"Changes in foreign exchange rates significantly affect reported results and consolidated trends, as fluctuations in the U.S. Dollar relative to currencies in international locations impact consolidated net sales and operating expenses. Continued currency volatility may significantly affect reported results and period-over-period comparisons."
R322,Foreign Government Retaliation Risk,"Export restrictions may provoke responses from foreign governments, including China, that negatively impact the supply chain or ability to provide products and services to customers worldwide, substantially reducing revenue."
R323,Foreign Tax Exposure,"Cash held by foreign subsidiaries may be subject to U.S. taxation under Subpart F, GILTI, or the one-time transition tax, and subsequent repatriations may incur state income or foreign withholding taxes."
R324,Forward-Looking Statements Risk,"PG&E Corporation and the Utility are subject to various risks and uncertainties that may cause actual results to differ materially from forward-looking statements based on management's current estimates, expectations, and projections."
R325,Foundry and Manufacturing Risk,"NVIDIA depends on a limited number of foundries to manufacture semiconductor wafers, and risks include lack of guaranteed supply, failure to procure raw materials, failure to develop high-quality process technologies, and potential production delays from losing a supplier."
R326,Franchise Agreement Risk,"The Utility has franchise agreements with approximately 300 cities and counties permitting installation and operation of electric and natural gas facilities. Most agreements are for indeterminate terms with no expiration date, and the Utility pays annual fees for use of public streets and highways."
R327,Fraud Risk,"Fraud schemes related to Venmo products and services may result in increased losses, negatively impacting transaction loss metrics."
R328,Fraud and Abuse Risk,"Users may engage in fraudulent or abusive activities through cloud-based services, including unauthorized use of accounts, stolen credit cards, failure to pay for services, cryptocurrency mining, or launching cyberattacks. Ineffective detection may result in adverse revenue impacts or reputational damage."
R329,Fraud and Abusive Behavior Risk,"Third parties may attempt to abuse access to and misuse PayPal's payments services to commit fraud, including creating fictitious accounts using stolen or synthetic identities, making transactions with stolen financial instruments, and fraudulently inducing users into fraudulent transactions. Measures to detect and reduce fraud risk may not be effective against new and evolving forms of fraud."
R330,Fraudulent Activities,"Fraudulent activities including account takeover, identity theft, stolen financial information, and malicious actions by counterparties represent a significant risk to merchants, consumers, and their payment partners."
R331,Fraudulent or Unlawful Seller Activities,"Sellers may fraudulently collect payments, sell unlawful, counterfeit, pirated, or stolen goods, or otherwise violate policies. When prevention processes fail, it can harm the business, damage reputation, and result in civil or criminal liability."
R332,Fulfillment Network Expansion Costs,"Fulfillment costs are impacted by increased investments in the fulfillment network, variable costs corresponding with higher product and service sales volumes and inventory levels, and increased wage rates and incentives."
R333,Fulfillment Network Optimization Risk,"Failures to adequately predict customer demand or otherwise optimize and operate fulfillment network and data centers successfully result in excess or insufficient capacity, service interruptions, increased costs, and impairment charges."
R334,Funding Mix Risk,"Changes in product mix, merchant mix, regional mix, and funding mix can affect the transaction expense rate. Macroeconomic shifts may also alter consumer spending behavior and the types of funding sources used."
R335,Future Wildfire Claims Funding Risk,There are risks related to the timing and amounts of available funds to pay eligible claims for liabilities arising from future wildfires.
R336,Future Wildfire Liability,"The Utility could be alleged or determined to be a cause of future wildfires in its service area, potentially resulting in significant liability including under the doctrine of inverse condemnation."
R337,Future cash flow uncertainty,Projections of future cash needs and cash flows are subject to substantial uncertainty.
R338,GDPR Violation Risk,"Irish Data Protection Commission investigating LinkedIn's targeted advertising practices for potential GDPR violations, with a preliminary draft decision proposing a fine."
R339,GDPR and CCPA Compliance Risk,"Privacy laws such as GDPR and CCPA require customers to impose specific contractual restrictions on service providers. A breach exposing or altering personal data could harm customer relationships and subject the company to litigation, regulatory action, or fines."
R340,GDPR and UK GDPR Compliance Risk,"The EU GDPR and UK GDPR govern strict handling of personal data within the EEA and United Kingdom. Non-compliance could result in penalties of up to EUR20 million or 4% of worldwide revenue, whichever is greater, and litigation from individuals or consumer protection organizations."
R341,GFN Security Breach,"Breaches of GFN security measures, which have occurred in the past, could expose partners to loss or misuse of proprietary game source code, damage both NVIDIA and its partners, and expose NVIDIA to potential litigation and liability."
R342,GHG Cap-and-Trade Compliance Risk,"The Utility faces compliance obligations under the cap-and-trade program as a natural gas supplier, requiring it to obtain emission allowances or offset credits to cover GHG emissions attributable to combustion of natural gas delivered to customers."
R343,GHG Emission Regulation Risk,"CARB is responsible for setting and monitoring GHG and other emission limits, and adopting regulations to gradually reduce GHG emissions in California."
R344,GHG Emissions Compliance Costs,"If the Utility increases its reliance on conventional generation resources to replace hydroelectric generation and meet increased customer demand, it may become more costly to comply with greenhouse gas emissions limits."
R345,GHG Emissions and Climate Change,"Significant GHG emissions from fossil fuel-fired plants, natural gas compressor stations, distribution fugitive natural gas, and customer natural gas use pose regulatory and environmental risks under mandatory reporting to CARB and EPA."
R346,GO 95 and GO 165 Compliance Failures,"The Utility continues to evaluate whether there are additional failures to comply with GO 95 and GO 165 beyond those identified in submitted self-reports, related to wood pole inspections and replacements."
R347,Gaming Competition,"Xbox and cloud gaming services face competition from various online gaming ecosystems and game streaming services, including those operated by Amazon, Apple, Meta, and Tencent."
R348,Gas System Capacity Failure Risk,"Failure to maintain adequate capacity to meet customer demand on the gas system can result in customer curtailments, gas outages, gas surges, serious personal injury, or loss of life."
R349,Gas System Safety Risk,"Risk of gas system incidents including pipeline explosions, workforce serious injuries and fatalities (SIF-A), and public safety incidents related to gas operations."
R350,General Litigation and Government Inquiries Risk,"The company is regularly subject to claims, lawsuits, arbitration proceedings, and government and regulatory investigations alleging violations of laws and regulations across a broad range of areas, including competition, antitrust, intellectual property, privacy, data protection, information security, anti-money laundering, sanctions, consumer protection, securities, tax, and employment matters."
R351,Generative AI Security Risks,"The increasing use of generative AI models in internal systems may create new attack vectors for adversaries, and features relying on generative AI may be susceptible to unanticipated security threats from sophisticated actors."
R352,Geographic Concentration Risk,"With corporate headquarters, large data center capacity, and research and development activities concentrated in California, and critical operations and suppliers located in Asia, the company's operations are vulnerable to natural disasters such as earthquakes and wildfires."
R353,Geographic Revenue Concentration,"NVIDIA derives significant revenue from outside the United States, representing 69% of total revenue in FY2023 and 84% in FY2022, with notable declines driven by China and Taiwan in the Data Center and Gaming segments."
R354,Geopolitical Conditions,Global economic and geopolitical conditions may give rise to or amplify risks to the company's business.
R355,Geopolitical Conflict Risk,"Periods of intense diplomatic or armed conflict, such as the ongoing conflict in Ukraine, may result in new and rapidly evolving sanctions and trade restrictions, as well as negative impacts to regional trade ecosystems among customers, partners, and Microsoft."
R356,Geopolitical Instability,"Abrupt political change, terrorist activity, and armed conflict—such as the ongoing conflict in Ukraine—pose a risk of general economic disruption, increasing operating costs and negatively impacting the ability to sell to and collect from customers in affected markets. Geopolitical instability may also lead to sanctions and restrict the ability to conduct business in certain markets."
R357,Geopolitical Risk,"Geopolitical tensions involving Taiwan and China, which comprise a significant portion of revenue and where suppliers, contract manufacturers, and assembly partners critical to supply continuity are located."
R358,Geopolitical Risk - Russia/Ukraine,"In response to the war in Ukraine, economic sanctions and export control measures blocked the passage of products, services, and support into Russia, Belarus, and certain regions of Ukraine; direct sales to Russia were stopped and business operations there were closed in fiscal year 2023. The ongoing conflict has also adversely impacted end-customer sales in the EMEA region."
R359,Geopolitical Tensions,"Tensions between governments, including the U.S. and China, have in the past led to tariffs and other restrictions being imposed on the Company's business. If disputes and conflicts further escalate, actions by governments could be significantly more severe and restrictive."
R360,Geopolitical Tensions and Conflicts,"Worldwide geopolitical tensions and conflicts, including in China, Hong Kong, Israel, Korea, and Taiwan where product components are manufactured and assembled, may result in changing regulatory requirements and other disruptions impacting operations, product demand, access to global markets, hiring, and profitability."
